complaint,error_code,actual_issue_id,data_source,source_url,verified
"Shaking violently during spin, moving across the floor",,46,synthetic,,True
Clothes don't get clean anymore What should I do?,,32,synthetic,,True
Water pooling under the machine Warranty just expired of course,,62,synthetic,,True
Door won't unlock even though wash is complete How do I fix this?,,7,synthetic,,True
"Completely dead, no power, nothing happens Is this fixable?",,15,synthetic,,True
"F21 error showing, water won't drain Need help ASAP",,71,synthetic,,True
"No lights, no sounds, won't start Warranty just expired of course",,15,synthetic,,True
"F21 code flashing, what does this mean? Please help!",F21,70,synthetic,,True
Error F21 showing on display Warranty just expired of course,F21,70,synthetic,,True
Water pooling under the machine Warranty just expired of course,,63,synthetic,,True
"Samsung showing dE, door won't unlock What should I do?",dE,7,synthetic,,True
"F21 error code, won't drain How do I fix this?",F21,70,synthetic,,True
"Door won't close properly, keeps popping open What should I do?",,1,synthetic,,True
"Cycle gets stuck on drain, water just sits there Need help ASAP",,70,synthetic,,True
Wash cycle finishes but clothes still dirty Need help ASAP,,32,synthetic,,True
Won't move to the next cycle phase What should I do?,,41,synthetic,,True
"Stuck on the start screen, won't begin washing What should I do?",,17,synthetic,,True
Vibrates so badly it walks across the laundry room,,46,synthetic,,True
"Completely dead, no power, nothing happens What should I do?",,15,synthetic,,True
Water pooling under the machine What should I do?,,62,synthetic,,True
"Getting dE error, what's wrong? Please help!",dE,7,synthetic,,True
Clothes have white residue all over them Need help ASAP,,31,synthetic,,True
Stains not coming out like they used to Please help!,,33,synthetic,,True
"Error code F22, cycle won't start Please help!",F22,2,synthetic,,True
"Water won't drain, clothes are soaking wet How do I fix this?",,71,synthetic,,True
Water pooling under the machine Is this fixable?,,62,synthetic,,True
Getting F22 on the screen Any ideas?,F22,2,synthetic,,True
"Cycle time keeps extending, never finishes on time Is this fixable?",,40,synthetic,,True
Door is stuck locked after cycle finished What should I do?,,7,synthetic,,True
Wash cycle finishes but clothes still dirty Please help!,,33,synthetic,,True
"Completely dead, no power, nothing happens What should I do?",,15,synthetic,,True
Horrible grinding noise when running What should I do?,,48,synthetic,,True
"Water won't drain, clothes are soaking wet Is this fixable?",,70,synthetic,,True
"Samsung showing dE, door won't unlock How do I fix this?",dE,7,synthetic,,True
Lights work but pressing start does nothing How do I fix this?,,17,synthetic,,True
Won't move to the next cycle phase How do I fix this?,,41,synthetic,,True
"Washer won't turn on at all, no lights What should I do?",,15,synthetic,,True
"Stuck on the start screen, won't begin washing Any ideas?",,16,synthetic,,True
"Samsung showing dE, door won't unlock Is this fixable?",dE,7,synthetic,,True
Door error dE code showing Please help!,dE,7,synthetic,,True
"No lights, no sounds, won't start Any ideas?",,15,synthetic,,True
"Getting F21, clothes soaking wet How do I fix this?",F21,70,synthetic,,True
Door won't unlock even though wash is complete Any ideas?,,7,synthetic,,True
"Loud banging when spinning, whole machine shakes",,46,synthetic,,True
"F21 error showing, water won't drain Any ideas?",,71,synthetic,,True
"Leaking from the bottom, big puddle Need help ASAP",,62,synthetic,,True
"Cycle time keeps extending, never finishes on time",,40,synthetic,,True
Vibrates so badly it walks across the laundry room Please help!,,46,synthetic,,True
"Stuck door, cycle ended 10 minutes ago but still locked Any ideas?",,7,synthetic,,True
Won't move to the next cycle phase,,41,synthetic,,True
"Completely dead, no power, nothing happens Is this fixable?",,15,synthetic,,True
"Washer won't turn on at all, no lights Please help!",,15,synthetic,,True
Clothes don't get clean anymore Need help ASAP,,32,synthetic,,True
"Detergent not rinsing out, leaves white marks Warranty just expired of course",,30,synthetic,,True
Lights work but pressing start does nothing Is this fixable?,,17,synthetic,,True
Puddle forming under the door every cycle Any ideas?,,60,synthetic,,True
"Loud banging when spinning, whole machine shakes Need help ASAP",,46,synthetic,,True
Soapy residue on clothes after wash Is this fixable?,,31,synthetic,,True
"Wash cycle takes forever, over 3 hours Need help ASAP",,40,synthetic,,True
"Makes terrible grinding noise, getting worse Warranty just expired of course",,48,synthetic,,True
"Cycle time keeps extending, never finishes on time What should I do?",,40,synthetic,,True
Door won't unlock even though wash is complete Warranty just expired of course,,7,synthetic,,True
Vibrates so badly it walks across the laundry room Is this fixable?,,45,synthetic,,True
Clothes have white residue all over them Is this fixable?,,31,synthetic,,True
"Door seal is leaking, water on the floor Please help!",,61,synthetic,,True
Getting F22 on the screen,F22,2,synthetic,,True
Horrible grinding noise when running Need help ASAP,,47,synthetic,,True
Clothes don't get clean anymore Please help!,,32,synthetic,,True
Cycle runs way longer than it should What should I do?,,40,synthetic,,True
"Getting F21, clothes soaking wet Please help!",F21,70,synthetic,,True
"Detergent not rinsing out, leaves white marks",,31,synthetic,,True
"Wash cycle takes forever, over 3 hours Is this fixable?",,40,synthetic,,True
"F22 error, door won't lock Need help ASAP",F22,2,synthetic,,True
F22 door lock error showing What should I do?,F22,2,synthetic,,True
"Washer won't turn on at all, no lights Is this fixable?",,15,synthetic,,True
Vibrates so badly it walks across the laundry room Any ideas?,,46,synthetic,,True
Soapy residue on clothes after wash Any ideas?,,30,synthetic,,True
Metal on metal scraping sound during wash What should I do?,,48,synthetic,,True
Clothes have white residue all over them Please help!,,31,synthetic,,True
"Not cleaning properly, clothes still smell",,32,synthetic,,True
"Leaking from the bottom, big puddle How do I fix this?",,63,synthetic,,True
"Completely dead, no power, nothing happens Please help!",,15,synthetic,,True
Metal on metal scraping sound during wash Any ideas?,,47,synthetic,,True
"Getting dE error, what's wrong? How do I fix this?",dE,7,synthetic,,True
"Stuck on rinse, been going for an hour Warranty just expired of course",,41,synthetic,,True
"Stuck on rinse, been going for an hour",,41,synthetic,,True
"Stuck on rinse, been going for an hour Need help ASAP",,41,synthetic,,True
Puddle forming under the door every cycle Is this fixable?,,61,synthetic,,True
"Can't open the door, it's still locked and cycle is done Need help ASAP",,7,synthetic,,True
"Getting F21, clothes soaking wet Need help ASAP",F21,70,synthetic,,True
"Detergent not rinsing out, leaves white marks How do I fix this?",,31,synthetic,,True
"Door seal is leaking, water on the floor What should I do?",,60,synthetic,,True
Washer filled but won't drain the water out Need help ASAP,,70,synthetic,,True
Says 45 minutes but actually takes 2+ hours Is this fixable?,,40,synthetic,,True
"Not cleaning properly, clothes still smell Warranty just expired of course",,32,synthetic,,True
Door locks but cycle won't begin Is this fixable?,,16,synthetic,,True
"Pushed power button, nothing, totally dead Please help!",,15,synthetic,,True
Vibrates so badly it walks across the laundry room Need help ASAP,,46,synthetic,,True
"Not cleaning properly, clothes still smell Need help ASAP",,32,synthetic,,True
"Water on floor after every load, not sure where from How do I fix this?",,63,synthetic,,True
"Getting dE error, what's wrong? How do I fix this?",dE,7,synthetic,,True
"Completely dead, no power, nothing happens Please help!",,15,synthetic,,True
"Stuck door, cycle ended 10 minutes ago but still locked What should I do?",,7,synthetic,,True
Water pooling under the machine Is this fixable?,,62,synthetic,,True
Clothes don't get clean anymore Warranty just expired of course,,33,synthetic,,True
F22 door lock error showing Warranty just expired of course,F22,2,synthetic,,True
Cycle pauses and won't restart Please help!,,41,synthetic,,True
Cycle runs way longer than it should,,40,synthetic,,True
"The door closes but won't lock, cycle won't start Warranty just expired of course",,1,synthetic,,True
"The door closes but won't lock, cycle won't start Need help ASAP",,2,synthetic,,True
"Wash cycle takes forever, over 3 hours Please help!",,40,synthetic,,True
"Water on floor after every load, not sure where from How do I fix this?",,62,synthetic,,True
Clothes come out with soap still on them Warranty just expired of course,,31,synthetic,,True
"Loud banging when spinning, whole machine shakes Please help!",,45,synthetic,,True
Won't move to the next cycle phase,,41,synthetic,,True
Lights work but pressing start does nothing Please help!,,17,synthetic,,True
Error F21 showing on display Is this fixable?,F21,70,synthetic,,True
Cycle pauses and won't restart Need help ASAP,,41,synthetic,,True
Sounds like it's going to explode during spin cycle What should I do?,,46,synthetic,,True
"F21 code flashing, what does this mean? Need help ASAP",F21,70,synthetic,,True
"Samsung showing dE, door won't unlock Need help ASAP",dE,7,synthetic,,True
"Door latch seems broken, won't catch Warranty just expired of course",,1,synthetic,,True
Error F21 showing on display,F21,70,synthetic,,True
Door won't stay closed when I try to start a cycle Warranty just expired of course,,1,synthetic,,True
Leak coming from somewhere underneath How do I fix this?,,62,synthetic,,True
"Leaking from the bottom, big puddle Please help!",,63,synthetic,,True
Water leaking from the door during wash Please help!,,61,synthetic,,True
"Makes terrible grinding noise, getting worse What should I do?",,48,synthetic,,True
"Leaking from the bottom, big puddle Please help!",,63,synthetic,,True
Clothes come out with soap still on them Is this fixable?,,30,synthetic,,True
"Stuck door, cycle ended 10 minutes ago but still locked Please help!",,7,synthetic,,True
Lights work but pressing start does nothing How do I fix this?,,17,synthetic,,True
"Wash cycle takes forever, over 3 hours What should I do?",,40,synthetic,,True
Water pooling under the machine Is this fixable?,,63,synthetic,,True
Door locks but cycle won't begin Need help ASAP,,17,synthetic,,True
Sounds like it's going to explode during spin cycle,,45,synthetic,,True
"F21 code flashing, what does this mean? Any ideas?",F21,70,synthetic,,True
Soapy residue on clothes after wash How do I fix this?,,31,synthetic,,True
Door locks but cycle won't begin Any ideas?,,16,synthetic,,True
"Pushed power button, nothing, totally dead",,15,synthetic,,True
"Water on floor after every load, not sure where from Please help!",,63,synthetic,,True
"Wash cycle takes forever, over 3 hours Need help ASAP",,40,synthetic,,True
